FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.01d78ead-e26e-338e-a9cf-3b2baf63cc2b,-44.535,-7.311,2019-09-20T16:45:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,POINT (-7.311 -44.535)
focos_ams_hoje_ref.01ddde98-beb9-3cb3-b974-a589830d3aa3,-43.991,-6.33,2019-09-20T16:45:00,AQUA_M-T,PARAIBANO,MARANHÃO,Brasil,POINT (-6.33 -43.991)
focos_ams_hoje_ref.01f0bafa-e19d-3955-bac9-be2697d60aac,-48.403,-11.061,2019-09-20T16:45:00,AQUA_M-T,IPUEIRAS,TOCANTINS,Brasil,POINT (-11.061 -48.403)
focos_ams_hoje_ref.022b059a-aff1-3034-9300-0db746870dc3,-55.348,-29.606,2019-09-20T18:15:00,AQUA_M-T,SÃO FRANCISCO DE ASSIS,RIO GRANDE DO SUL,Brasil,POINT (-29.606 -55.348)
focos_ams_hoje_ref.022d28c1-050c-3259-a68f-38394d450cb7,-44.445,-20.039,2019-09-20T16:40:00,AQUA_M-T,MATEUS LEME,MINAS GERAIS,Brasil,POINT (-20.039 -44.445)
focos_ams_hoje_ref.0233d675-2578-3d2f-ae08-bffc51bf7fb9,-45.787,-9.152,2019-09-20T16:45:00,AQUA_M-T,SANTA FILOMENA,PIAUÍ,Brasil,POINT (-9.152 -45.787)
focos_ams_hoje_ref.024a3fdd-766f-363c-8518-16ed8ecba7cb,-68.48,-14.565,2019-09-20T18:20:00,AQUA_M-T,Franz Tamayo,La Paz,Bolivia,POINT (-14.565 -68.48)
focos_ams_hoje_ref.025170d8-2864-3fa4-8c73-2323d8a0953e,-56.047,-26.604,2019-09-20T18:15:00,AQUA_M-T,San Pedro del Paraná,Itapúa,Paraguay,POINT (-26.604 -56.047)
focos_ams_hoje_ref.025417da-7d83-3c50-9033-5229b6452c11,-49.65,-20.032,2019-09-20T16:40:00,AQUA_M-T,RIOLÂNDIA,SÃO PAULO,Brasil,POINT (-20.032 -49.65)
focos_ams_hoje_ref.026d0cf8-3645-3cf9-8d98-74e4737a78b8,-45.867,-8.446,2019-09-20T16:45:00,AQUA_M-T,TASSO FRAGOSO,MARANHÃO,Brasil,POINT (-8.446 -45.867)
focos_ams_hoje_ref.02a94ae9-5a22-36b4-b0bb-1844988c681a,-41.925,-20.314,2019-09-20T16:40:00,AQUA_M-T,MANHUMIRIM,MINAS GERAIS,Brasil,POINT (-20.314 -41.925)
focos_ams_hoje_ref.02ec1f92-3ca4-3e33-95db-4e86894253fd,-58.512,-28.293,2019-09-20T18:15:00,AQUA_M-T,Saladas,Corrientes,Argentina,POINT (-28.293 -58.512)
focos_ams_hoje_ref.03038878-7735-3d2d-8f6e-96ea640bf42e,-55.443,-4.365,2019-09-20T16:45:00,AQUA_M-T,RURÓPOLIS,PARÁ,Brasil,POINT (-4.365 -55.443)
focos_ams_hoje_ref.031997cc-8eda-32e5-9258-d04e1bcb05de,-67.517,-9.062,2019-09-20T18:25:00,AQUA_M-T,BOCA DO ACRE,AMAZONAS,Brasil,POINT (-9.062 -67.517)
